corrupt;yozlaşmış
afterdeck;kıç güvertesi
afterdinner;Yemekten sonra
aftereffect;ikincil etki
afterfinish;Bitirdikten sonra
afterglow;gün batımı sonrası kızıllık
aftergrass;hasattan sonra büyüyen otlar
afterhours;saatler sonra
afterlife;öbür dünya
aftermath;sonrasının
aftermost;en sondaki
afternoon;öğleden sonra
afterpains;doğum sonrası ağrılar
afterpart;afterpart
afterpiece;ek oyun
afterproduct;afterproduct
aftersails;aftersails
afterseason;afterseason
aftershave;tıraş kremi
aftershock;artçı
aftertaste;ağızda kalan tat
afterthought;sonradan akla gelen düşünce
aftertime;aftertime
aftertreatment;Tedaviden sonra
afterward;sonra
afterwards;sonradan
afterwing;afterwing
aga;aga
again and again;tekrar ve tekrar
again;tekrar
against nature;doğaya karşı
against one's better judgment;Kişinin iyi karar karşı
against the grain;tersine
against the law;yasaya karşı
against time;zamana karşı
against;karşısında
agalloch;Agalloch
agamete;agamete
agamic;eşeysiz
agamogenesis;agamogenesis
agamous;agamous
agape;ağzı açık olarak
agar-agar solution;Agar-Agar çözüm
agar-agar;Agar-Agar
agaric;çayır mantarı
agate;akik
agateware;mermer tekniği
agave;sabır otu
age circle;yaş daire
age limit;yaş sınırı
age of consent;reşitlik yaşı
age;yaş
age-harden;yaş sertleşmesi
aged;yaşlı
ageing apparatus;yaşlanma aleti
ageing furnace;yaşlanma fırın
ageing temperature;Bekletme sıcaklığı
ageless;yaşlanmaz
agelong;asırlık
agency;Ajans
agenda;Gündem
agendum;agendum
agent provocateur;kışkırtıcı ajan
agent;ajan
aggiornamento;aggiornamento
agglomerate;yığma
agglomeration;toplanma
agglutinant;agglutinant
agglutinate;bitişimli
agglutination;bitişme
agglutinative;bitişimli
agglutinin;aglutinin
agglutinogen;agglutinogen
aggrandize;yüceltmek
aggrandizement;büyütme
aggravate;ağırlaştırmak
aggravating circumstances;ağırlaştırıcı sebep
aggravation;kızdırma
aggregate expenditure;genel harcamalar
aggregate income;agrega gelir
aggregate;toplam
aggregation;toplanma
aggress;saldırmak
aggression;saldırganlık
aggressive;agresif
aggressor;saldırgan
aggrieve;mağdur etmek
aggrieved;mağdur
aghast;donakalmış
agile;çevik
agility;çeviklik
aging;yaşlanma
agio;acyo
agiotage;acyotaj
agitate;kışkırtmak
agitated;tedirgin
agitation;çalkalama
agitato;agitato
agitator;karıştırıcı
agitprop;propaganda
agleam;ışıltılı
aglet;bağcık ucu
aglow;kıpkırmızı
agname;agname
agnate;soydaş
agnation;akrabalık
agnostic;agnostik
agnosticism;agnostisizm
ago;önce
agog;can atan
agonic;köşesiz
agonize;kıvranmak
agonizing;acı veren
agony;ızdırap
agora;pazar yeri
agoraphobia;agorafobi
agraphia;agrafi
agrarian geography;tarım coğrafyası
agrarian;tarım
agree to;için kabul
agree together;birlikte anlaşmak
agree with;onaylamak
agree;anlaşmak
agreeable;hoş
agreeableness;hoşluk
agreeably to;tatlılıkla için
agreeably with;tatlılıkla ile
agreeably;tatlılıkla
agreed;kabul
agreement;anlaşma
agressive;agresif
agribusiness;tarım ticareti
agricultural belt;tarımsal kemer
agricultural chemistry;tarımsal kimya
agricultural cooperative;tarımsal kooperatif
agricultural country;tarım ülkesi
agricultural credit;tarımsal kredi
agricultural engineer;Ziraat Mühendisi
agricultural engineering;Tarım mühendisliği
agricultural implement;tarımsal uygulamak
agricultural insecticide;tarımsal böcek ilacı
agricultural insurance;tarımsal sigorta
agricultural labour;tarımsal işgücü
agricultural labourer;tarım işçisi
agricultural land;Tarım arazisi
agricultural machine;tarımsal makine
agricultural produce;tarımsal ürünler
agricultural product;Tarım ürünü
agricultural production;tarımsal üretim
agricultural products;Tarım ürünleri
agricultural technique;tarımsal tekniği
agricultural tractor;tarım traktörü
agricultural;tarım
agriculture;tarım
agriculturist;tarımcı
agrimony;kasıkotu
agrimotor;traktör
agrobiology;agrobiyoloji
agrology;agroloji
agronomic;agronomik
agronomical;tarım bilimiyle ilgili
agronomics;bilimsel tarım
agronomist;bilimsel tarım uzmanı
agronomy;bilimsel tarım
aground;karaya oturmuş
ague;sıtma nöbeti
aguish;sıtmalı
ah;Ah
aha;Aha
ahead of one's time;Önümüzdeki kişinin zamanının
ahead of the game;Oyunun öncesinde
ahead;önde
ahem;hım
ahoy;yahu
AIDS;AIDS
aid and abet;yardakçılık etmek
aid;yardımcı
aide;yardımcı
aide-de-camp;yaver
aide-memoire;hatırlatıcı not
aigrette;sorguç
aikido;Japon güreşi
ail;rahatsız
aileron;kanatçık
ailing;hasta
ailment;hastalık
aim at;Nişan almak
aim;amaç
aiming circle;amaçlayan daire
aimless;amaçsız
ain't;değil
air admission;hava girişi
air base;hava üssü
air bearing;hava yatağı
air bladder;hava kesesi
air blast;hava patlaması
air bleed;hava alma
air box;hava kutusu
air brake;hava freni
air brick;hava tuğla
air bridge;hava köprüsü
air bubble;hava balonu
air carrier;hava taşıyıcısı
air castle;hava kale
air chamber;hava odası
air cleaner;Hava temizleyici
air column;hava sütunu,
air compressor;hava kompresörü
air conditioning;klima
air cooler;klima
air cooling;hava soğutma
air crossing;hava geçit
air current;Hava akımı
air cushion vehicle;Hava yastığı araç
air cushion;hava yastığı
air defence;hava savunması
air defense;hava savunması
air distance;hava mesafesi
air door;havalandırma kapısı
air drop delivery;Hava damla teslimat
air drop;hava damla
air duct;havalandırma kanalı
air ducts;hava kanalları
air ejector;hava ejektör
air engine;hava motoru
air escape pipe;Hava kaçış borusu
air filter;hava filtresi
air fleet;hava filosu
air force academy;Hava Kuvvetleri Akademisi
air force command;hava kuvvetleri komuta
air force;hava Kuvvetleri
air gun;hava silahı
air heater;Hava ısıtıcısı
air hole;hava deliği
air hose;hava hortumu
air hostess;hostes
air humidifier;hava Nemlendirici
air humidity;hava rutubeti
air inlet;hava girişi
air intake;hava girişi
air jacket;hava gömleği
air lane;hava şeritli
air mail;hava posta
air mass;hava kütlesi
air nozzle;hava memesi
air officer;hava subayı
air ones views;Hava olanlar görünümler
air operation;hava operasyonu
air outlet;hava çıkışı
air passage;hava geçidi
air photo;hava fotoğrafı
air pilot;hava pilotu
air pocket;hava boşluğu
air pollution;hava kirliliği
air post;hava sonrası
air pressure;hava basıncı
air pump;hava pompası
air quality;hava kalitesi
air raid;hava saldırısı
air resistance;hava direnci
air sac;hava kesesi
air shaft;hava şaftı
air sick;hava hasta
air space;hava boşluğu
air speed;hava hızı
air stream;hava akımı,
air taxi;hava taksi
air traffic;hava trafiği
air transport;Hava Taşımacılığı
air truck;hava kamyon
air tube;iç lastik
air turbine;hava türbin
air void;hava boşluğu
air washer;hava yıkayıcı
air;hava
air-balloon;hava balonu
air-condition;hava Durumu
air-conditioned;klimalı
air-conditioner;klima
air-cool;Hava serin
air-cooled engine;hava soğutmalı bir motor
air-cooled;hava soğutmalı
air-free;Hava bedava
air-gun;hava silahı
air-harden;Hava sertleşmesi
air-hole;hava deliği
air-operated;pnömatik
air-raid shelter;sığınak
air-seasoned;Hava görmüş
air-spaced;Hava aralıklı
air-suspended;Hava süspansiyonlu
air-to-air;havadan havaya
air-to-ground;havadan yere
air-to-sea;havadan deniz
air-to-surface;Hava-yüzey
air-to-underwater;hava-su altı
air-traffic control;hava trafik kontrolü
airbase;hava üssü
airborne radar;Havadaki radarı
airborne;hava indirme
airbrush;airbrush
airbus;hava otobüsü
aircraft carrier;uçak gemisi
aircraft construction;uçak yapımı
aircraft engine;uçak motoru
aircraft engineer;uçak mühendisi
aircraft equipment;uçak ekipmanı
aircraft factory;uçak fabrikası
aircraft fuel;uçak yakıtı
aircraft hangar;uçak hangarı
aircraft industry;uçak endüstrisi
aircraft shed;uçak hangarı
aircraft;uçak
aircrew;Hava mürettebatı
airdrome;havalimanı
airdrop;havadan yardım
Airedale;terriyer türü
airfield light;havaalanı ışık
airfield lighting;havaalanı aydınlatma
airfield traffic;havaalanı trafiği
airfield;havaalanı
airflow;hava akımı
airfoil;uçak kanadı
airforce;hava Kuvvetleri
airfreight;airfreight
airfreighter;airfreighter
airglow;Gök Aydınlığı
airhostess;airhostess
airily;hoppaca
airiness;hafiflik
airing;havalandırma
airlane;uçuş rotası
airless;havasız
airlift;hava köprüsü
airline pilot;havayolu pilotu
airline;havayolu
airliner;dev uçak
airlock;hava kilidi
airmail;uçak postası
airman;havacı
airmanship;havacılık
airplane carrier;uçak gemisi
airplane engine;uçak motoru
airplane park;uçak parkı
airplane;uçak
airport of departure;kalkış havaalanı
airport of destination;Hedef havaalanı
airport tax;Havaalanı vergisi
airport;havalimanı
airproof;hava geçirmez
airs;fiyaka
airscrew;uçak pervanesi
airship;zeplin
airsick;airsick
airsickness;airsickness
airspace;hava boşluğu
airspeed;hava hızı
airstrip;uçak pisti
airtight;hava geçirmez
airtightness;hava geçirmezliği
airway;havayolu
airways;solunum yolları
airworthiness;uçuşa elverişlilik
airworthy;uçuşa elverişli
airy;havadar
airy-fairy;havadar-peri
aisle;koridor
aitchbone;sığır budu
ajar;aralık
akimbo;elleri belinde
akin;benzeyen
alabaster;kaymaktaşı
alack;eksikliği
alacrity;can atma
alalia;Alalia
alanine;alanin
alarm bell;alarm zili
alarm clock;alarm saati
alarm;alarm
alarmingly;korkutucu
alarmist;panik yaratan
alas;yazık
Albania;Arnavutluk
Albanian;Arnavutça
albatross;albatros
albedo;aklık
albeit;Gerçi
albescent;beyazlaşan
albinism;albinizm
albino;albino
Albion;Albion
albite;albit
album;albüm
albumen;albümin
albumenize;albumenize
albumin;albümin
albuminate;albuminate
albuminoid;albuminoid
albuminose;albuminose
albuminous;albüminli
alburnum;ağaç özü
alchemic;simya ile ilgili
alchemical;simya
alchemist;simyager
alchemy;simya
alchymist;Alchymist
alchymy;Alchymy
alcohol content;Alkol içeriği
alcohol fuel;alkollü yakıt
alcohol;alkol
alcoholic drinks;alkollü içecekler
alcoholic strength;alkollü mukavemet
alcoholic;alkollü
alcoholism;alkolizm
alcoholometer;alkolmetre
alcoholometry;alcoholometry
alcoholysis;alkoliz
alcove;kameriye
aldehyde;aldehit
alder;kızılağaç
alder-tree;kızılağaç
alderman;belediye meclisi üyesi
aldoform;aldoform
aldohexose;aldoheksoz
aldol;aldol
aldose;aldose
aldosterone;aldosteron
aldoxime;alsoksim
ale;bira
aleatoric;şansa bağlı
aleatory;şansa bağlı
alee;bocada
alehouse;birahane
alembic;imbik
aleph null;aleph boş
Aleppo pine;Halep çamı
Aleppo;Halep
alert;Alarm
alertness;uyanıklık
Alexandria;İskenderiye
alexia;okuma yitimi
alfalfa;alfalfa
alfresco;açık havada
alga;yosun
algae;yosun
algebra;cebir
algebraic equation;cebirsel denklemi
algebraic;cebirsel
Algeria;Cezayir
Algerian;Cezayir
algesia;aljezi
Algiers;Cezayir
algin;algin
alginate;aljinat
algine;algine
algology;suyosunları bilimi
algorithm;algoritma
algorithmic;algoritmik
alias;takma ad
alibi;mazeret
alicyclic;alisiklik
alidade;alidat
alien subjects;yabancı uyruklu vatandaşlar
alien;yabancı
alienable;devredilebilir
alienate;yabancılaştırmak
alienation;yabancılaştırma
alienist;akıl hastalıkları uzmanı
aliens' law;yabancılar kanunu
aliform;kanat şeklinde
alight on one's feet;ayağa kalkmak
alight;inmek
alighting gears;dişlileri alighting
align with;uyum
align;hizalamak
aligner;aligner
alignment;hizalanma
alike;benzer
aliment;besin
alimentary canal;sindirim borusu
alimentary;beslenme
alimentation;beslenme
alimony;nafaka
aliphatic;alifatik
aliquant;tümbölmez
aliquot;tümbölen
alive and kicking;eli ayağı tutan
alive to;hayatta
alive with;canlı
alive;canlı
alizarin;alizarin
alkali cellulose;alkali selüloz
alkali metals;alkali metaller
alkali resistant;alkaliye karşı dayanıklı
alkali;alkali
alkalimeter;alkalimeter
alkalimetry;bazölçüm
alkaline earth metals;alkalin toprak metalleri
alkaline fluid;alkali sıvı
alkaline;alkalik
alkalinity;baziklik
alkalinize;alkalinize
alkalinizing;Alkalilefltirici
alkaloid;alkaloit
alkane;alkan
alkanet;alkanet
alkannin;alkannin
alkene;alken
alkyd;alkid
alkyl;alkil
alkylation;alkilasyonu
alkyne;alkin
all aboard!;Tüm gemiye!
all agog;can atan
all alone;yapayalnız
all along the line;Tüm hat boyunca
all along the road;Bütün yol boyunca
all along the way;Bütün yol boyunca
all along;baştan beri
all and sundry;her biri
all anyhow;tüm nasıl olsa
all around;çepeçevre
all at once;hepsi birden
all but the kitchen sink;evye ancak tüm
all but;neredeyse
all clear;temiz
all down the line;Tüm satır aşağı
all fools' day;Bütün Şaka Günü
all for nothing;Tüm boşuna
all found;tüm bulundu
all fours;dört ayak
all hands;bütün eller
all in all;Neticede
all in one breath;her bir nefes
all in the day's work;Tüm günlük çalışma
all in the day's work;Tüm günlük çalışma
all in;hepsi icinde
all manner of;her türlü
all my eye;Tüm gözüm
all night long;bütün gece boyunca
all night;tüm gece
all of a piece;tıpatıp
all of a sudden;aniden
all of a tremble;tir tir titremek
all one's born days;Bütün kişinin doğmuş gün
all out;hepsini
all over;baştan
all right;tamam
all rights reserved;tüm hakları Saklıdır
all silk;tüm ipek
all terrain vehicle;tüm arazi aracı
All that glitters is not gold;Parlayan her şey altın değildir
all that;hepsi
all the better;çok daha iyi
all the colors of the rainbow;Gökkuşağının tüm renkleri
all the rage;tüm öfke
all the same;hepsi bir
all the time;her zaman
all the vogue;çok moda
all the year round;tüm yıl boyunca
all there;hepsi orada
all told;herşey söylendi
all too soon;Herşey çok yakın
all weather;Tüm hava
all;herşey
all-embracing;her şeyi saran
all-inclusive;herşey dahil
all-nighter;Bütün gece çalışacak
all-purpose;çok amaçlı
all-round;her yönden
Allah;Allah
allanite;Alanit
allay;yatıştırmak
allegation;iddia
allege;ileri sürmek
allegedly;iddiaya göre
allegiance;bağlılık
allegoric;alegorik
allegorical;alegorik
allegorically;kinayeli olarak
allegorize;kinaye yazmak
allegory;alegori
allegretto;allegretto
allegro;allegro
allel;allel
allele;allel
allelic;allelik
allelomorph;allelomorph
allelomorphic;allelomorphic
allelotropic;allelotropic
allergen;alerjen
allergic;alerjik
allergy;alerji
alleviate;hafifletmek
alleviation;hafifleme
alley cat;sokak kedisi
alley;geçit
alliaceous;sarımsaklı
alliance;ittifak
Allied Powers;Müttefik Güçler
allied;müttefik
alligator pear;avakado
alligator;timsah
alliterate;aynı sesi tekrarlamak
alliteration;aliterasyon
allocate;ayırmak
allocation;tahsis
allocution;hitabe
allogamy;melezleme
allomeric;allomeric
allometry;allometry
allomorph;alomorf
allomorphous;allomorphous
allopath;alopat
allopathy;alopati
allophone;Allofan
allot;tahsis
allotment letter;servis birimi mektup
allotment;tahsis
allotriomorphic;allotriomorphic
allotrope;Allotrop
allotropic;allotropik
allotropy;allotropi
allow for;izin
allow of;meydan vermek
allow;izin vermek
allowable;izin verilebilir
allowance;ödenek
alloy;alaşım
alloyed;alaşımlı
alloying;alaşımlama
allspice;yenibahar
allude to;İma etmek
allude;ima etmek
alluded to;ima
allure;cazibe
allurement;albeni
alluring;çekici
allusion;kinaye
allusive;kinayeli
alluvial cone;alüvyon konisi
alluvial deposit;alüvyon
alluvial plain;alüvyon ova
alluvial;alüvyonlu
alluvion;alüvyon
alluvium;alüvyon
ally;müttefik
alma mater;gidilen okul
almanac;almanak
almanack;Almanack
almandine;almandine
almighty;yüce
almond oil;badem yağı
almond shaped;şekilli badem
almond tree;badem ağacı
almond;badem
almoner;sosyal görevli
almost;neredeyse
alms;sadaka
almsgiving;sadaka verme
almshouse;imarethane
almsman;düşkün
almucantar;almucantar
aloe;aloe
aloes;sarısabır ilacı
aloeswood;aloeswood
aloft;havada
alogia;alogia
alone;yalnız
along with;ile birlikte
along;boyunca
alongshore;kıyı boyunca
alongside one another;yan yana
alongside with;ile birlikte
alongside;yanında
aloof;uzak
aloofness;sokulmama
alopecia;kellik
aloud;yüksek sesle
alp;alp
alpaca;alpaka
alpenstock;demir uçlu dağcı sopası
alpha and omega;Alfa ve Omega
alpha particle;alfa parçacığı
alpha radiation;alfa radyasyonu
alpha radioactivity;alfa radyoaktivite
alpha rays;alfa ışınları
alpha;alfa
alphabet;alfabe
alphabetic;alfabetik
alphabetical;alfabetik
alphabetically;alfabetik olarak
alphameric;alphameric
alphamerics;alphamerics
alphanumeric;alfanümerik
alphanumerics;alphanumerics
alpine plant;alp bitki
alpine sun;ultraviyole lâmbası
alpine;alp
Alpinist;Dağcı
already available;zaten mevcut
already;zaten
Alsatian;Alsas
also;Ayrıca
also-ran;yenilen kimse
Alt key;alt tuşu
altar;altar
altazimuth;altazimuth
